Value,Country,Region,Species,Region
0.67,Lower,GIN,Low,Guinea
0.76,Lower,NER,Low,Niger
0.77,Lower,CIV,Low,Cote_d_Ivoire
0.78,Lower,TGO,Low,Togo
0.81,Lower,LBR,Mid,Liberia
0.85,Lower,BEN,Mid,Benin
0.87,Lower,MLI,Mid,Mali
0.92,Lower,NGA,Mid,Nigeria
0.99,Lower,SLE,Mid,Sierra_Leone
1.01,Lower,CPV,High,Cabo_Verde
1.01,Lower,GHA,High,Ghana
1.04,Lower,BFA,High,Burkina_Faso
1.13,Lower,SEN,High,Senegal
1.14,Lower,GMB,High,Gambia
0.82,Pri,GIN,Low,Guinea
0.87,Pri,NER,Low,Niger
0.89,Pri,MLI,Low,Mali
0.91,Pri,CIV,Mid,Cote_d_Ivoire
0.92,Pri,LBR,Mid,Liberia
0.93,Pri,CPV,Mid,Cabo_Verde
0.94,Pri,BEN,Mid,Benin
0.94,Pri,NGA,Mid,Nigeria
0.95,Pri,TGO,Mid,Togo
0.98,Pri,BFA,Mid,Burkina_Faso
1.01,Pri,SLE,High,Sierra_Leone
1.02,Pri,GHA,High,Ghana
1.09,Pri,GMB,High,Gambia
1.16,Pri,SEN,High,Senegal
0.53,Upper,BEN,Low,Benin
0.58,Upper,TGO,Low,Togo
0.63,Upper,GIN,Low,Guinea
0.64,Upper,NER,Low,Niger
0.69,Upper,MLI,Mid,Mali
0.7,Upper,BFA,Mid,Burkina_Faso
0.7,Upper,CIV,Mid,Cote_d_Ivoire
0.74,Upper,LBR,Mid,Liberia
0.875,Upper,NGA,Mid,Nigeria
0.88,Upper,SLE,Mid,Sierra_Leone
0.95,Upper,GHA,Mid,Ghana
1.02,Upper,SEN,High,Senegal
1.24,Upper,CPV,High,Cabo Verde
