Value,Country,Region,Species,
58.1,Benin,ALIBORI,Low,
86.4,Benin,BORGOU,Mid,
88.4,Benin,COUFFO,Mid,
95.43,Benin,ATACORA,Mid,
97.7,Benin,PLATEAU,Mid,
100.3,Benin,DONGA,High,
103.6,Benin,COLLINES,High,
117.3,Benin,ZOU,High,
136.2,Benin,MONO,High,
147.9,Benin,ATLANTIQUE,High,
150.9,Benin,LITTORAL,High,
157.4,Benin,OUEME,High,
110.8,Benin,National,Avg,29.26794819
68.6,Cote_d_Ivoire,TCHOLOGO,Mid,
69.9,Cote_d_Ivoire,BAGOUE,Mid,
78.2,Cote_d_Ivoire,FOLON,Mid,
79.4,Cote_d_Ivoire,BOUNKANI,Mid,
80.9,Cote_d_Ivoire,GUEMON,Mid,
84.6,Cote_d_Ivoire,BERE,Mid,
91.9,Cote_d_Ivoire,HAMBOL,Mid,
92,Cote_d_Ivoire,INDENIE-DJUABLIN,,
92.8,Cote_d_Ivoire,PORO,Mid,
94.4,Cote_d_Ivoire,GBOKLE,Mid,
97.7,Cote_d_Ivoire,ABIDJAN,Mid,
98.4,Cote_d_Ivoire,G?H,Mid,
99.1,Cote_d_Ivoire,N'ZI,Mid,
99.6,Cote_d_Ivoire,NAWA,Mid,
100.6,Cote_d_Ivoire,SAN PEDRO,High,
101.4,Cote_d_Ivoire,MARAHOUE,High,
102.8,Cote_d_Ivoire,KABADOUGOU,High,
104.2,Cote_d_Ivoire,MORONOU,High,
105.8,Cote_d_Ivoire,IFFOU,High,
106.9,Cote_d_Ivoire,TONKPI,High,
107.3,Cote_d_Ivoire,WORODOUGOU,High,
108,Cote_d_Ivoire,BAFING,High,
110.4,Cote_d_Ivoire,CAVALLY,High,
111.2,Cote_d_Ivoire,GONTOUGO,High,
114.3,Cote_d_Ivoire,GB?K?,High,
114.8,Cote_d_Ivoire,HAUT-SASSANDRA,High,
116.6,Cote_d_Ivoire,SUD-COMOE,High,
117.5,Cote_d_Ivoire,LA ME,High,
121.2,Cote_d_Ivoire,BELIER,High,
128.3,Cote_d_Ivoire,AGNEBY-TIASSA,High,
128.8,Cote_d_Ivoire,YAMOUSSOUKRO,High,
129.4,Cote_d_Ivoire,L?H-DJIBOUA,High,
130,Cote_d_Ivoire,GRANDS PONTS,High,
100.6,Cote_d_Ivoire,National,Avg,16.23241833
37,Mali,Kidal,Low,
38.2,Mali,Mopti,Low,
62.8,Mali,Segou,Mid,
68.2,Mali,Tombouctou,Mid,
75,Mali,Gao,Mid,
81.1,Mali,Sikasso,Mid,
81.2,Mali,Kayes,Mid,
98.7,Mali,Koulikoro,High,
100.1,Mali,Bamako,High,
76.5,Mali,National,Avg,21.45242799
47.3,Senegal,Kaffrine,Low,
57.6,Senegal,Diourbel,Low,
68.8,Senegal,Matam,Low,
74.5,Senegal,Louga,Mid,
77.2,Senegal,Kaolack,Mid,
77.8,Senegal,Tambacounda,Mid,
86.9,Senegal,Fatick,Mid,
94.1,Senegal,Saint-Louis,Mid,
95.9,Senegal,Kolda,Mid,
101.3,Senegal,Dakar,High,
104.1,Senegal,S?dhiou,High,
104.7,Senegal,Thi?s,High,
110.1,Senegal,Ziguinchor,High,
113.7,Senegal,K?dougou,High,
86.4,Senegal,National,Avg,19.44552307
