Value,Country,Region,Species,
46.2,Guinea_Bissau,Gabu,Low,
47.8,Guinea_Bissau,Bafata,Low,
56.5,Guinea_Bissau,Oio,Mid,
61.5,Guinea_Bissau,Cacheu,Mid,
63.3,Guinea_Bissau,Tomba,Mid,
65,Guinea_Bissau,Quina,Mid,
71.1,Guinea_Bissau,Biombo,Mid,
75.3,Guinea_Bissau,SAB,Mid,
77.3,Guinea_Bissau,Bolama,Mid,
62.4,Guinea_Bissau,National,Avg,10.44700914
32,Nigeria,Sokoto,Low,
34.5,Nigeria,Kebbi,Low,
37.8,Nigeria,Yobe,Low,
37.9,Nigeria,Gombe,Low,
38.6,Nigeria,Bauchi,Low,
38.6,Nigeria,Jigawa,Low,
40.1,Nigeria,Zamfara,Low,
52,Nigeria,Niger,Mid,
53,Nigeria,Borno,Mid,
54.8,Nigeria,Kano,Mid,
56.8,Nigeria,Katsina,Mid,
57.7,Nigeria,Adamawa,Mid,
58.2,Nigeria,Taraba,Mid,
66.5,Nigeria,Kaduna,Mid,
70.9,Nigeria,Nasarawa,Mid,
71.2,Nigeria,Benue,Mid,
73.1,Nigeria,Osun,Mid,
74.3,Nigeria,Oyo,Mid,
75.8,Nigeria,Plateau,Mid,
78.6,Nigeria,Ebonyi,Mid,
83.9,Nigeria,Akwa Ibom,Mid,
84.8,Nigeria,Cross River,Mid,
84.9,Nigeria,Bayelsa,Mid,
85.3,Nigeria,Delta,Mid,
86.1,Nigeria,Kwara,Mid,
86.2,Nigeria,FCT Abuja,Mid,
86.7,Nigeria,Kogi,Mid,
87.8,Nigeria,Ogun,Mid,
87.9,Nigeria,Enugu,Mid,
89.3,Nigeria,Ekiti,Mid,
89.6,Nigeria,Imo,Mid,
90.6,Nigeria,Rivers,Mid,
91.4,Nigeria,Edo,Mid,
91.8,Nigeria,Ondo,Mid,
93.4,Nigeria,Anambra,Mid,
93.4,Nigeria,Abia,Mid,
95.7,Nigeria,Lagos,Mid,
60.9,Nigeria,National,Avg,20.30860088
